card_id,image_url
base1-3,https://images.pokemontcg.io/base1/3_hires.png
sm12-4,https://images.pokemontcg.io/sm12/4_hires.png
xy2-6,https://images.pokemontcg.io/xy2/6_hires.png
bw8-3,https://images.pokemontcg.io/bw8/3_hires.png
ex9-5,https://images.pokemontcg.io/ex9/5_hires.png
sm8-3,https://images.pokemontcg.io/sm8/3_hires.png
ru1-5,https://images.pokemontcg.io/ru1/5_hires.png
swsh35-5,https://images.pokemontcg.io/swsh35/5_hires.png
swsh1-4,https://images.pokemontcg.io/swsh1/4_hires.png
pop7-5,https://images.pokemontcg.io/pop7/5_hires.png
pl1-6,https://images.pokemontcg.io/pl1/6_hires.png
ex12-6,https://images.pokemontcg.io/ex12/6_hires.png
dp4-4,https://images.pokemontcg.io/dp4/4_hires.png
pop4-4,https://images.pokemontcg.io/pop4/4_hires.png
dpp-DP04,https://images.pokemontcg.io/dpp/DP04_hires.png
hgss4-6,https://images.pokemontcg.io/hgss4/6_hires.png
neo4-4,https://images.pokemontcg.io/neo4/4_hires.png
bw6-3,https://images.pokemontcg.io/bw6/3_hires.png
hgss1-6,https://images.pokemontcg.io/hgss1/6_hires.png
dp1-4,https://images.pokemontcg.io/dp1/4_hires.png
neo3-3,https://images.pokemontcg.io/neo3/3_hires.png
ex4-4,https://images.pokemontcg.io/ex4/4_hires.png
sm75-3,https://images.pokemontcg.io/sm75/3_hires.png
bw11-4,https://images.pokemontcg.io/bw11/4_hires.png
base3-6,https://images.pokemontcg.io/base3/6_hires.png
base6-4,https://images.pokemontcg.io/base6/4_hires.png
sm2-3,https://images.pokemontcg.io/sm2/3_hires.png
ex11-6,https://images.pokemontcg.io/ex11/6_hires.png
pop9-4,https://images.pokemontcg.io/pop9/4_hires.png
pop1-4,https://images.pokemontcg.io/pop1/4_hires.png
ecard2-H6,https://images.pokemontcg.io/ecard2/H6_hires.png
sm115-5,https://images.pokemontcg.io/sm115/5_hires.png
ex8-4,https://images.pokemontcg.io/ex8/4_hires.png
bw10-5,https://images.pokemontcg.io/bw10/5_hires.png
dv1-6,https://images.pokemontcg.io/dv1/6_hires.png
si1-5,https://images.pokemontcg.io/si1/5_hires.png
xy11-5,https://images.pokemontcg.io/xy11/5_hires.png
mcd19-6,https://images.pokemontcg.io/mcd19/6_hires.png
bw9-2,https://images.pokemontcg.io/bw9/2_hires.png
pop3-4,https://images.pokemontcg.io/pop3/4_hires.png
xy5-6,https://images.pokemontcg.io/xy5/6_hires.png
pl3-5,https://images.pokemontcg.io/pl3/5_hires.png
pop7-6,https://images.pokemontcg.io/pop7/6_hires.png
ex13-4,https://images.pokemontcg.io/ex13/4_hires.png
ex7-6,https://images.pokemontcg.io/ex7/6_hires.png
mcd19-7,https://images.pokemontcg.io/mcd19/7_hires.png
bw11-5,https://images.pokemontcg.io/bw11/5_hires.png
